step_i,ReactantA,amountA,ReactantB,amountB,ReactantC,amountC,ReactantD,amountD,ReactantE,amountE,ReactantF,amountF,Intermediate,temperature,time,atmosphere,active_site,metal_metal_distance,FileName,coordinationtypeA,numbersA,coordinationtypeB,numbersB,coordinationtypeC,numbersC,stir,stir_time,stir_temperature
1,Fe(NO3)3·9H2O,not specified (molar ratio with Ni),Ni(NO3)2·6H2O,"50% Ni content (i.e., Ni:Fe = 1:1 molar ratio)",EDTA,0.584 g,triethylamine,3.5 mL,"N,N-dimethylformamide",30 mL,,,Solution A + B mixed → Ni/Fe-EDTA complex solution,,,AIR,NiFeN4C4,not explicitly stated,_20260319_151222_zhuang_2021_carbothermal_synthesis_of_nife_bimetal.json,N,4,C,4,,0,yes,,
2,Ni/Fe-EDTA complex solution,all,,,,,,,,,,,Ni/Fe-EDTA complex solid,,,AIR,NiFeN4C4,not explicitly stated,_20260319_151222_zhuang_2021_carbothermal_synthesis_of_nife_bimetal.json,N,4,C,4,,0,,,
3,Ni/Fe-EDTA complex solid,not specified (bulk precursor),,,,,,,,,,,NiFe@GC-50,800.00,1.00,N2,NiFeN4C4,not explicitly stated,_20260319_151222_zhuang_2021_carbothermal_synthesis_of_nife_bimetal.json,N,4,C,4,,0,,,
1,Pd(acac)₂,equimolar with Pt(acac)₂,Pt(acac)₂,equimolar with Pd(acac)₂,acetone,40 mL,,,,,,,metal precursor solution,,,AIR,PdPt Oₓ,,_20260319_151533_sarma_2021_bottom_up_assembly_of_bimetallic_nanocl.json,O,1,,0,,0,,,
2,MgO support,"powder, previously ground",metal precursor solution,all,,,,,,,,,wet impregnated MgO,,,AIR,PdPt Oₓ,,_20260319_151533_sarma_2021_bottom_up_assembly_of_bimetallic_nanocl.json,O,1,,0,,0,,,
3,wet impregnated MgO,all,,,,,,,,,,,air-calcined 1.0PdPt/MgO,,,AIR,PdPt Oₓ,,_20260319_151533_sarma_2021_bottom_up_assembly_of_bimetallic_nanocl.json,O,1,,0,,0,,,499.85
4,air-calcined 1.0PdPt/MgO,all,,,,,,,,,,,reduced 1.0PdPt/MgO DAC,399.85,2.00,AR,PdPt Oₓ,,_20260319_151533_sarma_2021_bottom_up_assembly_of_bimetallic_nanocl.json,O,1,,0,,0,,,
1,g-C₃N₄,0.4 g,Fe(NO₃)₃,3560 μL of 0.05 mol/L solution,Ce(NO₃)₃,1710 μL of 0.05 mol/L solution,deionized water,50 mL,,,,,Fe-Ce co-doped g-C₃N₄ (Fe-Ce/CN),160.00,10.00,AIR,,-,_20260319_151720_pan_2020_facile_synthesis_of_iron_and_cerium_co_do.json,,0,,0,,0,yes,10.00,
1,potassium hexacyanoferrate,0.13 g,cobalt(II) nitrate hexahydrate,"0.06 g, 0.14 g, or 0.17 g (for 1.5/3.5/4.25 g/L in 40 mL)",polyvinylpyrrolidone (PVP),4.0 g,0.1 M hydrochloric acid,40 mL,,,,,"Fe/Co Prussian blue analogues (CCPs, CSPs, or PCPs)",80.00,24.00,AIR,Fe CN Co,,_20260319_151857_zhang_2020_controlled_synthesis_of_bimetallic_prus.json,C,1,N,1,,0,,,
1,salicylaldehyde,97%,ethylenediamine,purum p.a.,copper(II) acetate tetrahydrate,purum p.a.,,,,,,,[Cu(Salen)] monomer,,,AIR,,-,_20260319_151933_alekseeva_2020_bimetallic_cupt_oxygen_reduction_re.json,,0,,0,,0,,,
2,K₂PtCl₆,not specified,[Cu(Salen)] template film,pre-polymerized on electrode,,,,,,,,,"Pt/Cu bimetallic catalyst (non-supported, derived from poly[Cu(Salen)]/Pt)",,,,,-,_20260319_151933_alekseeva_2020_bimetallic_cupt_oxygen_reduction_re.json,,0,,0,,0,,,
