step_i,ReactantA,amountA,ReactantB,amountB,ReactantC,amountC,ReactantD,amountD,ReactantE,amountE,ReactantF,amountF,Intermediate,temperature,time,atmosphere,active_site,metal_metal_distance,FileName,coordinationtypeA,numbersA,coordinationtypeB,numbersB,coordinationtypeC,numbersC,stir,stir_time,stir_temperature
1,La(NO3)3·6H2O (lanthanum nitrate hexahydrate),0.2606 g (0.6 mmol),H2O (deionized water),4 mL,C2H5OH (ethanol),10 mL,,,,,,,solution A,,,AIR,La2-NG,,a dual atom la2 catalyst for the oxygen reduction reaction.json,"N, O",,,,,,,,25.00
2,phen·H2O (phenanthroline monohydrate),0.1388 g (0.7 mmol),HBA (benzoic acid),0.7327 g (6.0 mmol),HQ (8-hydroxyquinoline),0.1452 g (1.0 mmol),C2H5OH (ethanol),10 mL,,,,,[La2(BA)4(NO3)2(phen)2],,,AIR,La2-NG,,a dual atom la2 catalyst for the oxygen reduction reaction.json,"N, O",,,,,,,,25.00
3,graphene oxide (GO),100 mg,[La2(BA)4(NO3)2(phen)2],2.24 mg,H2O (deionized water),50 mL,,,,,,,La2-NG,1500.00,,NH3,La2-NG,,a dual atom la2 catalyst for the oxygen reduction reaction.json,"N, O",,,,,,,,
1,2D metal-organic framework (MOF) nanosheets,,,,,,,,,,,,FeN4@C,,,AIR,Fe-N3 and Co-O3 linked via bridging N/O atoms,,a janus dual atom catalyst for electrocatalytic oxygen reduction and evolution.json,N,3,O,3,,,,,25.00
2,FeN4@C,,,,,,,,,,,,d-FeN3@C,,,AR,Fe-N3 and Co-O3 linked via bridging N/O atoms,,a janus dual atom catalyst for electrocatalytic oxygen reduction and evolution.json,N,3,O,3,,,,,25.00
3,d-FeN3@C,,Co(NO3)2·6H2O (cobalt(II) nitrate hexahydrate),,NH4F (ammonium fluoride),,,,,,,,FeCo-N3O3@C,800.00,2.00,N2,Fe-N3 and Co-O3 linked via bridging N/O atoms,,a janus dual atom catalyst for electrocatalytic oxygen reduction and evolution.json,N,3,O,3,,,,,
1,Zn(NO3)2·6H2O (zinc nitrate hexahydrate),1.190 g,Fe(acac)3 (ferric acetylacetonate),1.170 g,Co(acac)2 (cobalt(II) acetylacetonate),86 mg,CH3OH (methanol),30 mL,,,,,FeCo-ZIF precursor,,,AIR,Fe-N4 and Co-N4 with Fe-Co metal-metal bond,,a post modification strategy to precisely construct dual atom sites for.json,N,4,N,4,,,,,25.00
2,FeCo-ZIF precursor,,,,,,,,,,,,FeCo-NC-2,900.00,3.00,AR,Fe-N4 and Co-N4 with Fe-Co metal-metal bond,,a post modification strategy to precisely construct dual atom sites for.json,N,4,N,4,,,,,
1,"Fe salt (e.g., FeCl₃ or Fe(NO₃)₃)",,"Zn salt (e.g., Zn(NO₃)₂)",,H₂BDC (terephthalic acid),,NCNT (N-doped carbon nanotubes),,,,,,FeZn-BDC@NCNT,,,,Pt-Fe-N₂ (3D asymmetric coordination),≈2.5 Å,adv funct materials 2025 guan engineering relative spatial structure of dual ato.json,N,2,N,2,,,,,
2,FeZn-BDC@NCNT,,,,,,,,,,,,C@NCNT (metal-free carbon support) + volatilized Zn,,,AR,Pt-Fe-N₂ (3D asymmetric coordination),≈2.5 Å,adv funct materials 2025 guan engineering relative spatial structure of dual ato.json,N,2,N,2,,,,,500.00
3,C@NCNT,,"Pt precursor (e.g., Pt(acac)₂ or PtCl₄)",,Fe sites pre-anchored on C@NCNT,,,,,,,,Pt₁Fe₁-TAC dimer catalyst,250.00,,AR,Pt-Fe-N₂ (3D asymmetric coordination),≈2.5 Å,adv funct materials 2025 guan engineering relative spatial structure of dual ato.json,N,2,N,2,,,,,
1,ZIF-8,,Ni(NO3)2·6H2O (nickel(II) nitrate hexahydrate),,Cu(NO3)2·3H2O (copper(II) nitrate trihydrate),,,,,,,,"Ni,Cu-ZIF-8",,,AIR,Ni-N3/Cu-N3 on hollow N-doped carbon,2.6–2.7 Å,advanced materials 2023 zhang atomically dispersed ni cu catalysts for ph univer.json,N,3,N,3,,,,,25.00
2,"Ni,Cu-ZIF-8",,dopamine hydrochloride,,Tris-HCl buffer,,,,,,,,"PDA-coated Ni,Cu-ZIF-8",,,AIR,Ni-N3/Cu-N3 on hollow N-doped carbon,2.6–2.7 Å,advanced materials 2023 zhang atomically dispersed ni cu catalysts for ph univer.json,N,3,N,3,,,,,25.00
3,"PDA-coated Ni,Cu-ZIF-8",,,,,,,,,,,,Cu/Ni-NC,,,AR,Ni-N3/Cu-N3 on hollow N-doped carbon,2.6–2.7 Å,advanced materials 2023 zhang atomically dispersed ni cu catalysts for ph univer.json,N,3,N,3,,,,,900.00
4,Cu/Ni-NC,treated with aqua regia,,,,,,,,,,,Cu/Ni-NC (acid-washed),25.00,4.00,AIR,Ni-N3/Cu-N3 on hollow N-doped carbon,2.6–2.7 Å,advanced materials 2023 zhang atomically dispersed ni cu catalysts for ph univer.json,N,3,N,3,,,,,
1,2-Ethylimidazole,10 mmol,Zn(NO3)2·6H2O (zinc nitrate hexahydrate),10.4 mmol,heme chloride (C34H32ClFeN4O4),0.077 mmol,ZrCl4 (zirconium(IV) chloride),0.051 mmol,C2H5OH (ethanol),15 mL,,,"Fe,Zr-ZIF precursor",,,AIR,Fe-N4 and Zr-N4 sites on N-doped carbon,,advanced science 2025 qiu atomically dispersed zr n moieties modulate fe coordin.json,N,4,N,4,,,,,25.00
