step_i,ReactantA,amountA,ReactantB,amountB,ReactantC,amountC,ReactantD,amountD,ReactantE,amountE,ReactantF,amountF,Intermediate,temperature,time,atmosphere,active_site,metal_metal_distance,FileName,coordinationtypeA,numbersA,coordinationtypeB,numbersB,coordinationtypeC,numbersC,stir,stir_time,stir_temperature
1,commercial activated charcoal (AC),not specified,ethanolic solution (10% weight) of carboxymethylcellulose (CMC),as binder,,,,,,,,,compacted carbon pellets (Ø 3.175 mm × 4 mm),,,AIR,CuNi alloy,-,_20260321_165619_arbel_ez_2015_mono_and_bimetallic_cu_ni_structured.json,,0,,0,,0,yes,24.00,80.00
2,Cu(NO₃)₂·3H₂O,"to achieve 20 wt% CuO + NiO, Cu:Ni = 2:1 or 1:2 molar ratio",Ni(NO₃)₂·6H₂O,"to achieve 20 wt% CuO + NiO, Cu:Ni = 2:1 or 1:2 molar ratio",AC pellets,all,,,,,,,Cu-Ni/AC oxide precursor,,,N₂,CuNi alloy,-,_20260321_165619_arbel_ez_2015_mono_and_bimetallic_cu_ni_structured.json,,0,,0,,0,,,500.00
3,Cu-Ni/AC oxide precursor,all,,,,,,,,,,,reduced Cu-Ni/AC bimetallic catalyst,600.00,3.00,AR,CuNi alloy,-,_20260321_165619_arbel_ez_2015_mono_and_bimetallic_cu_ni_structured.json,,0,,0,,0,,,
1,ceria support (CeO₂),not specified,iridium precursor,not specified,,,,,,,,,Ir/CeO₂ catalyst precursor,,,AIR,Au Ir,-,_20260321_165940_aguirre_2016_in_situ_drift_study_of_au_irceria_cat.json,,0,,0,,0,,,80.00
2,Ir/CeO₂ catalyst precursor,all,gold precursor,not specified,,,,,,,,,Au-Ir/CeO₂ bimetallic catalyst,400.00,2.00,AR,Au Ir,-,_20260321_165940_aguirre_2016_in_situ_drift_study_of_au_irceria_cat.json,,0,,0,,0,,,
1,Pt/C catalyst (40 wt%),200 mg,SnEt₄,"variable, e.g., 0.034 M in n-decane",n-decane,10 mL,,,,,,,Sn-anchored Pt/C intermediate,,,AR,,-,_20260321_170057_borb_th_2013_controlled_synthesis_of_pt3snc_electr.json,,0,,0,,0,,,170.00
2,Sn-anchored Pt/C intermediate,all from step 1,,,,,,,,,,,"SnPt/C electrocatalyst (e.g., 8.3SnPt/C-IV, Pt/Sn ≈ 3)",250.00,2.00,AR,,-,_20260321_170057_borb_th_2013_controlled_synthesis_of_pt3snc_electr.json,,0,,0,,0,,,
1,RhCl₃,not specified,PtCl₂·6H₂O,not specified,Vulcan XC-70 carbon support,not specified,,,,,,,reduced monometallic parent catalyst (Rh/C or Pt/C),,,HE,,-,_20260321_170629_alba_rubio_2015_synthesis_of_supported_rhmo_and_pt.json,,0,,0,,0,,,
2,reduced parent catalyst (Rh/C or Pt/C),not specified,(C₇H₈)₃Mo(CO)₆,varied to control Mo loading,,,,,,,,,RhMo/C or PtMo/C bimetallic catalyst (alloyed nanoparticles),,,HE,,-,_20260321_170629_alba_rubio_2015_synthesis_of_supported_rhmo_and_pt.json,,0,,0,,0,,,
3,RhMo/C or PtMo/C catalyst,not specified,1% O₂/He,passivation gas stream,,,,,,,,,passivated RhMo/C or PtMo/C catalyst (surface-oxidized Mo),,,HE,,-,_20260321_170629_alba_rubio_2015_synthesis_of_supported_rhmo_and_pt.json,,0,,0,,0,,,
