step_i,ReactantA,amountA,ReactantB,amountB,ReactantC,amountC,ReactantD,amountD,ReactantE,amountE,ReactantF,amountF,Intermediate,temperature,time,atmosphere,active_site,metal_metal_distance,FileName,coordinationtypeA,numbersA,coordinationtypeB,numbersB,coordinationtypeC,numbersC,stir,stir_time,stir_temperature
1,CuCl2,0.1 g,ZnCl2,0.05 g,,,,,,,,,intermediateA,,,N2,CuZnN4O2,2.5,test_active_site.json,N,4,O,2,,0,,,24.85
2,LigandX,0.2 g,,,,,,,,,,,finalProduct,526.85,2.00,AR,CuZnN4O2,2.5,test_active_site.json,N,4,O,2,,0,,,
1,Zn(NO3)2·6H2O,1186 mg,cetyltrimethylammonium bromide,30 mg,deionized water,40 mL,,,,,,,solution A,,,AIR,Fe2N6,2.41 Å,_20260316_210432_nl4c00576_si_002.json,N,6,,0,,0,,,
2,2-methylimidazole,18.16 g,deionized water,280 mL,,,,,,,,,solution B,,,AIR,Fe2N6,2.41 Å,_20260316_210432_nl4c00576_si_002.json,N,6,,0,,0,,,
3,solution A,all,solution B,all,,,,,,,,,white powder (ZIF-8),,,AIR,Fe2N6,2.41 Å,_20260316_210432_nl4c00576_si_002.json,N,6,,0,,0,yes,0.33,
4,cyclopentadienyliron dicarbonyl dimer (Fe dimer),2.1 mg,dimethyl formamide,150 mL,white powder (ZIF-8),150 mg,Tris-HCl buffer (0.05:0.015 M),300 mL,dopamine hydrochloride,45 mg,,,dopamine-coated black powder (precursor),,,AIR,Fe2N6,2.41 Å,_20260316_210432_nl4c00576_si_002.json,N,6,,0,,0,yes,12.00,
5,dopamine-coated black powder (precursor),120 mg,,,,,,,,,,,Fe2@NG DAC,900.00,1.00,AR,Fe2N6,2.41 Å,_20260316_210432_nl4c00576_si_002.json,N,6,,0,,0,,,
1,Zn(NO3)2·6H2O,not specified,2-methylimidazole,not specified,,,,,,,,,ZIF-8,,,AIR,Fe2N6,2.88 Å,_20260316_210728_direct_eight_electron_n2o_electroreduction_to_nh3_.json,N,6,,0,,0,yes,,
2,cyclopentadienyliron dicarbonyl dimer (Fe dimer),not specified,ZIF-8,not specified,,,,,,,,,Fe-dimer@ZIF-8,,,AIR,Fe2N6,2.88 Å,_20260316_210728_direct_eight_electron_n2o_electroreduction_to_nh3_.json,N,6,,0,,0,,,
3,Fe-dimer@ZIF-8,all,,,,,,,,,,,Fe2@NG DAC,900.00,1.00,AR,Fe2N6,2.88 Å,_20260316_210728_direct_eight_electron_n2o_electroreduction_to_nh3_.json,N,6,,0,,0,,,
1,Zn(NO3)2·6H2O,8000 mg,cetyltrimethylammonium bromide,8000 mg,deionized water,8000 mL,,,,,,,solution A,,,AIR,Fe2N6,2.41 Å,_20260317_131220_direct_eight_electron_n2o_electroreduction_to_nh3_.json,N,6,,0,,0,,,
2,2-methylimidazole,18.16 g,deionized water,280 mL,,,,,,,,,solution B,,,AIR,Fe2N6,2.41 Å,_20260317_131220_direct_eight_electron_n2o_electroreduction_to_nh3_.json,N,6,,0,,0,,,
3,solution A,all,solution B,all,,,,,,,,,white powder (ZIF-8),,,AIR,Fe2N6,2.41 Å,_20260317_131220_direct_eight_electron_n2o_electroreduction_to_nh3_.json,N,6,,0,,0,yes,0.33,
4,cyclopentadienyliron dicarbonyl dimer (Fe dimer),2.1 mg,dimethyl formamide,150 mL,white powder (ZIF-8),150 mg,dopamine hydrochloride,45 mg,,,,,Fe2@NG DAC,900.00,12.00,AR,Fe2N6,2.41 Å,_20260317_131220_direct_eight_electron_n2o_electroreduction_to_nh3_.json,N,6,,0,,0,yes,12.00,
1,PcCu,not specified,Zn(NO3)2,not specified,Fe(NO3)3,not specified,2-methylimidazole,not specified,,,,,blue precipitate (PcCu-Fe-ZIF-8),,,,CuFeN6,,_20260317_131640_zafar_2025_advances_in_the_synthesis_of_fe_based_b.json,N,6,,0,,0,,,150.00
2,blue precipitate (PcCu-Fe-ZIF-8),all,,,,,,,,,,,CuFeN6,800.00,,N2,CuFeN6,,_20260317_131640_zafar_2025_advances_in_the_synthesis_of_fe_based_b.json,N,6,,0,,0,,,
1,FeCl₃,75 mM (in slurry),Co(NO₃)₂,optimized concentration (not specified),urea,nitrogen source (not quantified),poly(vinyl alcohol) (PVA),thickening agent (not quantified),polyimide (PI) substrate,support (not quantified),,,FeCoSAN (Fe-Co dual-atom catalyst on laser-scribed graphene),2500.00,,AIR,FeCoN6,-,_20260317_131750_tostado_blazquez_2025_synthesis_of_bimetallic_iron.json,N,6,,0,,0,,,
1,HZ5 zeolite,not reported,"Fe precursor (e.g., Fe(NO3)3)",not reported,,,,,,,,,Fe-HZ5-TF (mononuclear Fe),,,,FeCu,not reported,_20260317_132226_cheng_2024_atomically_dispersed_iron_copper_dual_m.json,,0,,0,,0,,,
2,Fe-HZ5-TF,not reported,"Cu precursor (e.g., Cu(NO3)2)",not reported,,,,,,,,,0.1Cu/Fe-HZ5-TF,,,,FeCu,not reported,_20260317_132226_cheng_2024_atomically_dispersed_iron_copper_dual_m.json,,0,,0,,0,,,
1,CO₂,flowing gas or dissolved in aqueous solution,CuZn-E-d-MOF,catalyst loading not specified (used as photocatalyst),,,,,,,,,"C₂H₄ (ethylene), with minor CO",,0.13,CO,CuZnN4O2,not explicitly reported (HAADF shows dual-atom spacing but no numerical value given),_20260317_135355_ma_2026_photocatalytic_asymmetric_c_c_coupling_for.json,N,4,O,2,,0,,,
1,Co(CH3COO)2·4H2O,0.1245 g,H2dobdc,0.099 g,deionized water,80 μL,,,,,,,Co-MOF-1D (pink solid),,,AIR,CoFeO6,,_20260317_135843_wu_2024_assembly_and_valence_modulation_of_ordered.json,O,6,,0,,0,,,
2,Co-MOF-1D,200 mg,Fe(CH3COO)2,96 mg,DMF:EtOH:H2O,14 mL (12:1:1 v/v/v),,,,,,,Co1Fe(II)-MOF-74@2,120.00,5.00,N2,CoFeO6,,_20260317_135843_wu_2024_assembly_and_valence_modulation_of_ordered.json,O,6,,0,,0,yes,5.00,
1,Ni(NO₃)₂·6H₂O,not specified,Fe(NO₃)₃·9H₂O,not specified,γ-Al₂O₃,"commercial support, not quantified",,,,,,,impregnated precursor on γ-Al₂O₃,,,AIR,,-,_20260317_135852_he_2024_synergistic_effects_of_the_bimetallic_ni_f.json,,0,,0,,0,,,110.00
2,impregnated precursor on γ-Al₂O₃,all,,,,,,,,,,,"xNi-yFe/Al₂O₃ bimetallic catalyst (e.g., 15Ni-7.5Fe/Al₂O₃)",500.00,3.00,AIR,,-,_20260317_135852_he_2024_synergistic_effects_of_the_bimetallic_ni_f.json,,0,,0,,0,,,
